frame,x,y,visible
1412,1425,710,False
1413,1425,710,False
1414,1425,710,False
1415,1425,710,False
1416,1088,722,True
1417,1084,717,True
1418,746,732,True
1419,1088,713,True
1420,753,738,True
1421,414,771,False
1422,414,771,False
1423,414,771,False
1424,927,547,True
1425,934,184,False
1426,761,382,True
1427,1118,346,True
1428,1303,506,True
1429,1488,664,True
1430,1491,666,True
1431,1492,668,True
1432,1493,670,True
1433,1493,673,True
1434,1154,750,True
1435,815,827,True
1436,477,906,False
1437,807,828,True
1438,1132,755,True
1439,1459,678,True
1440,1458,676,False
1441,1458,676,False
1442,1458,676,False
1443,1458,676,False
1444,1458,676,False
1445,1457,677,True
1446,1460,679,True
1447,1474,684,True
1448,1486,684,True
1449,1496,682,True
1450,1501,678,True
1451,1504,682,True
1452,1512,685,True
1453,1513,689,True
1454,1522,692,True
1455,1529,696,True
1456,1541,698,True
1457,1552,701,True
1458,1564,701,True
1459,1573,703,True
1460,1583,704,True
1461,1592,705,True
1462,1599,705,True
1463,1605,704,True
1464,1610,700,True
1465,1612,701,True
1466,1613,699,True
1467,1611,699,True
1468,1687,489,True
1469,1837,75,False
1470,1837,75,False
1471,1680,464,True
1472,1593,623,False
1473,1593,623,False
1474,1679,441,True
1475,1596,627,True
1476,1597,629,True
1477,1593,628,True
1478,1596,622,True
1479,1598,617,True
1480,1594,624,True
1481,1594,617,True
1482,1591,613,True
1483,1584,599,True
1484,1242,704,True
1485,1229,701,True
1486,1226,700,True
1487,1222,684,True
1488,561,859,False
1489,1217,747,True
1490,1222,749,True
1491,1560,673,True
1492,1561,677,True
1493,1551,742,True
1494,1539,799,True
1495,1553,747,True
1496,1569,694,True
1497,1587,642,True
1498,1589,646,True
1499,1592,648,True
1500,1594,650,True
1501,1596,652,True
1502,1598,654,True
1503,1601,655,True
1504,1602,657,True
1505,1579,708,True
1506,1580,710,True
1507,1582,711,True
1508,1608,663,True
1509,1609,665,True
1510,1606,659,True
1511,1603,654,True
1512,1603,656,True
1513,1607,665,True
1514,1611,676,True
1515,1611,679,True
1516,1607,686,True
1517,1602,691,True
1518,1597,697,True
1519,1596,702,True
1520,1597,702,True
1521,1597,704,True
1522,1597,708,True
1523,1597,720,True
1524,1598,731,False
1525,1598,731,False
1526,1583,765,True
1527,1555,843,False
1528,1555,843,False
1529,1598,796,True
1530,1615,826,True
1531,1646,818,True
1532,1649,820,True
1533,1651,821,False
1534,1651,821,False
1535,1647,820,True
1536,1648,819,True
1537,1649,819,False
1538,1649,819,False
1539,1649,819,False
1540,1649,819,False
1541,1649,819,False
1542,1649,819,False
1543,1649,819,False
1544,1649,819,False
1545,1649,819,False
1546,1649,819,False
1547,1649,819,False
1548,1649,819,False
1549,1280,828,True
1550,913,839,True
1551,545,850,True
1552,543,852,True
1553,542,854,False
1554,542,854,False
1555,542,854,False
1556,542,854,False
1557,543,853,True
1558,546,854,False
1559,546,854,False
1560,546,854,False
1561,546,854,False
